picture,year,longitude,latitude,building,sorce
1.jpg,1722,-1.360948,51.841363,Blenheim Palace,https://en.wikipedia.org/wiki/Blenheim_Palace
2.jpg,1722,-1.360948,51.841363,Blenheim Palace,https://en.wikipedia.org/wiki/Blenheim_Palace
3.jpg,1722,-1.360948,51.841363,Blenheim Palace,https://en.wikipedia.org/wiki/Blenheim_Palace
4.jpg,1699,13.2957,52.5209,Schloss Charlottenburg,https://en.wikipedia.org/wiki/Schloss_Charlottenburg
5.jpg,1699,13.2957,52.5209,Schloss Charlottenburg,https://en.wikipedia.org/wiki/Schloss_Charlottenburg
6.jpg,1699,13.2957,52.5209,Schloss Charlottenburg,https://en.wikipedia.org/wiki/Schloss_Charlottenburg
7.jpg,1735,16.068611,50.733056,"Basilica of the Assumption of the Blessed Virgin Mary, Krzeszów","https://en.wikipedia.org/wiki/Basilica_of_the_Assumption_of_the_Blessed_Virgin_Mary,_Krzesz%C3%B3w"
8.jpg,1735,16.068611,50.733056,"Basilica of the Assumption of the Blessed Virgin Mary, Krzeszów",https://www.google.com/url?sa=i&url=https%3A%2F%2Freligiana.com%2Fbasilica-assumption-blessed-virgin-mary-krzeszow&psig=AOvVaw14wAhgA-NCmeC7kuHs59rE&ust=1716007973135000&source=images&cd=vfe&opi=89978449&ved=0CBAQjRxqFwoTCPjlyoDyk4YDFQAAAAAdAAAAABAE
9.jpg,1735,16.068611,50.733056,"Basilica of the Assumption of the Blessed Virgin Mary, Krzeszów",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.wikidata.org%2Fwiki%2FQ4867404&psig=AOvVaw14wAhgA-NCmeC7kuHs59rE&ust=1716007973135000&source=images&cd=vfe&opi=89978449&ved=0CBAQjRxqFwoTCPjlyoDyk4YDFQAAAAAdAAAAABAS
10.jpg,1650,12.479778,41.899,"Sant'Ignazio, Rome","https://en.wikipedia.org/wiki/Sant%27Ignazio,_Rome"
