picture,year,longitude,latitude,building,source
0.jpg,1905,118.25° W,34.05° N,Craftsman style house,Gemini
1.jpg,2010,73.98° W,40.88° N,Stone mansion with a large backyard and a garden. ,Gemini
2.jpg,1920,81.67° W,29.64° N,Tudor Revival House ,Gemini
3.jpg,1920,76.14° W,36.86° N,Brick house with a porch,Gemini
4.jpg,1920,85.04° W,32.35° N,Brick building with a fountain,Gemini
5.jpg,1910,88.03° W,43.07° N,Tudor Revival House,Gemini
6.jpg,1910,-97.13° W,49.89° N, A large house with red tile roof and timber framing,Gemini
7.jpg,1920,96.87° W,41.27° N,Tudor Revival house,Gemini
8.jpg,1925,118.24° W,34.06° N,Two-story white house with dark brown roof,Gemini
9.jpg,1914,96.83° W,41.25° N," YMCA building in Omaha, Nebraska.",Gemini
10.jpg,1900,97.10° W,40.00° N,Stone building with red accents,Gemini
11.jpg,1980,114.17° E,22.28° N,"Bank of China Tower, Hong Kong",Gemini
12.jpg,1990,114.17° E,22.28° N,The Bank of China Tower,Gemini
13.jpg,1752,23.15° E,50.07° N, Church of Saint Michael Archangel  ,Gemini
14.jpg,1970,117.42° W,34.06° N,The Treehouse in the Desert. ,Gemini
15.jpg,1900,1.5° E,48.5° N,French Chateau Style House,Gemini
16.jpg,2023,121.50° E,25.00° N, A futuristic skyscraper,Gemini
17.jpg,1728,4.22° E,50.63° N,Two historical buildings in Bruges,Gemini
18.jpg,1899,12.5682° E,55.6760° N,National Museum of Denmark,Gemini
19.jpg,1911,34.16° E,44.50° N,Vorontsov Palace,Gemini
20.jpg,1985,1.89° W,52.48° N,Birmingham Bullring Shopping Centre,Gemini
21.jpg,1982,77.23° E,28.61° N, The Baroda Museum and Picture Gallery,Gemini
22.jpg,2004,4.48° E,52.00° N," ""The Red Tulip"" sculpture",Gemini
23.jpg,1986,0.08° E,51.51° N,The Gherkin building,Gemini
24.jpg,2014,116.42° E,39.94° N,The Galaxy SOHO building,Gemini
25.jpg,2000,73.98° W,40.71° N, Red and Pink Balloon Sculpture,Gemini
26.jpg,1990,1.89° W,52.48° N,Birmingham Bullring Shopping Centre,Gemini
27.jpg,1950,4.54° E,48.40° N,"Chapel of Notre Dame du Haut, Ronchamp",Gemini
28.jpg,2015,121.5° E,25.0° N, Futuristic waterfront building,Gemini
29.jpg,1985,1.89° W,52.48° N,The Bullring Shopping Centre ,Gemini
30.jpg,1997,113.31° E,23.13° N,Canton Tower,Gemini
31.jpg,1987,2.37° E,48.86° N,The Cité des Sciences et de l'Industrie  ,Gemini
32.jpg,1985,1.8912° W,52.4828° N,Bullring Shopping Centre,Gemini
33.jpg,1985,1.89° W,52.48° N,The Bullring Shopping Centre,Gemini
34.jpg,1997,2°10.8° E,43°23.2° N,Guggenheim Museum Bilbao,Gemini
35.jpg,2009,144.9628° E,-37.8136° S,The Melbourne Biomedical Precinct,Gemini
36.jpg,2003,15.43° E,48.20° N,Kunsthaus Graz,Gemini
37.jpg,2000,122.34° W,47.60° N,Experience Music Project,Gemini
38.jpg,1990,1.89° W,52.48° N,Selfridges Birmingham  ,Gemini
39.jpg,2003,15.09° E,46.34° N,"The Kunsthaus Graz, a modern art museum.",Gemini
40.jpg,2005,4.88° E,51.23° N,The Kunsthal Rotterdam,Gemini
41.jpg,1995,130.62° E,32.96° N, The Spiral Garden of the Fukuoka Prefectural Art Museum,Gemini
42.jpg,2003,118.243° W,34.052° N,Walt Disney Concert Hall ,Gemini
43.jpg,1997,2.93° W,43.26° N,Guggenheim Museum Bilbao,Gemini
44.jpg,2019,116.40° E,39.91° N,The Beijing Daxing International Airport Terminal,Gemini
45.jpg,1989,18.0642° E,59.3329° N,"The Globe Arena in Stockholm, Sweden. ",Gemini
46.jpg,2003,1.90° W,52.48° N,Birmingham Bullring Shopping Centre. ,Gemini
47.jpg,2003,15.43° E,47.07° N,"Kunsthaus Graz, Graz, Austria",Gemini
48.jpg,1997,2.94° W,43.26° N,Guggenheim Museum Bilbao,Gemini
49.jpg,2014,116.38° E,39.92° N,"Galaxy SOHO in Beijing, China.",Gemini
50.jpg,2003,1.8965° W,52.4806° N,The Bullring Shopping Centre,Gemini
51.jpg,1997,14.42° E,50.08° N,Dancing House in Prague,Gemini
52.jpg,1990,1.8975° W,52.4814° N,The Bullring Shopping Centre,Gemini
53.jpg,2005,13.40° E,52.52° N,Gasometer  architecture ,Gemini
54.jpg,2005,13.4050° E,52.5186° N,The Jewish Museum Berlin,Gemini
55.jpg,2002,1.618° W,54.976° N,The Sage Gateshead,Gemini
56.jpg,2000,122.33° W,47.60° N,Museum of Pop Culture (MoPOP),Gemini
57.jpg,2010,114.17° E,30.52° N,Modern art museum in China,Gemini
58.jpg,2023,30.55° E,41.01° N,"The Infinity Towers, Istanbul",Gemini
59.jpg,1985,1.89° W,52.48° N,Birmingham Bullring Shopping Centre,Gemini
60.jpg,2000,0.00 ° E,0.00 ° N,Book sculpture with globe pattern,Gemini
61.jpg,2005,4.85° E,50.64° N,Green Roof Building  ,Gemini
62.jpg,2001,11.5762° E,48.1372° N,The BMW Welt  ,Gemini
63.jpg,1999,122.3330 ° W,47.6062 ° N,The Museum of Pop Culture (MoPOP),Gemini
64.jpg,1985,1.89° W,52.48° N,Bullring Shopping Centre,Gemini
65.jpg,1997,122.37° W,47.60° N, The Museum of Pop Culture (MoPOP),Gemini
66.jpg,2008,122.4194° W,37.7749° N,California Academy of Sciences  ,Gemini
67.jpg,2011,-5.99° W,37.38° N,Metropol Parasol Seville  ,Gemini
68.jpg,1985,1.90° W,52.48° N,The Selfridges Building in Birmingham,Gemini
69.jpg,2014,113.96° E,22.54° N,Guangdong University of Technology Library,Gemini
70.jpg,1985,1.895° W,52.481° N,Birmingham Selfridges Building,Gemini
71.jpg,1997,-2.93° W,43.26° N,Guggenheim Museum Bilbao,Gemini
